County,NUTS_II,Foot
Kildare,SE,9
Kildare,SE,2
Kildare,SE,8
Kildare,SE,7
Kildare,SE,3
Kildare,SE,22
Kildare,SE,3
Kildare,SE,2
Kildare,SE,8
Kildare,SE,35
Kildare,SE,17
Kildare,SE,6
Kildare,SE,4
Kildare,SE,3
Kildare,SE,10
Kildare,SE,5
Kildare,SE,13
Kildare,SE,8
Kildare,SE,7
Kildare,SE,54
Kildare,SE,31
Kildare,SE,13
Kildare,SE,6
Kildare,SE,25
Kildare,SE,22
Kildare,SE,6
Kildare,SE,7
Kildare,SE,7
Kildare,SE,4
Kildare,SE,5
Kildare,SE,16
Kildare,SE,19
Kildare,SE,15
Kildare,SE,6
Kildare,SE,18
Kildare,SE,12
Kildare,SE,9
Kildare,SE,4
Kildare,SE,4
Kildare,SE,10
Kildare,SE,5
Kildare,SE,37
Kildare,SE,2
Kildare,SE,12
Kildare,SE,6
Kildare,SE,13
Kildare,SE,13
Kildare,SE,8
Kildare,SE,12
Kildare,SE,27
Kildare,SE,45
Kildare,SE,35
Kildare,SE,12
Kildare,SE,16
Kildare,SE,36
Kildare,SE,17
Kildare,SE,7
Kildare,SE,9
Kildare,SE,19
Kildare,SE,5
Kildare,SE,8
Kildare,SE,12
Kildare,SE,12
Kildare,SE,2
Kildare,SE,14
Kildare,SE,4
Kildare,SE,12
Kildare,SE,2
Kildare,SE,9
Kildare,SE,4
Kildare,SE,2
Kildare,SE,6
Kildare,SE,43
Kildare,SE,13
Kildare,SE,3
Kildare,SE,3
Kildare,SE,35
Kildare,SE,22
Kildare,SE,27
Kildare,SE,9
Kildare,SE,3
Kildare,SE,5
Kildare,SE,16
Kildare,SE,8
Kildare,SE,27
Kildare,SE,82
Kildare,SE,48
Kildare,SE,31
Kildare,SE,48
Kildare,SE,17
Kildare,SE,46
Kildare,SE,17
Kildare,SE,24
Kildare,SE,14
Kildare,SE,12
Kildare,SE,18
Kildare,SE,34
Kildare,SE,43
Kildare,SE,32
Kildare,SE,34
Kildare,SE,45
Kildare,SE,40
Kildare,SE,11
Kildare,SE,21
Kildare,SE,65
Kildare,SE,8
Kildare,SE,23
Kildare,SE,23
Kildare,SE,34
Kildare,SE,53
Kildare,SE,19
Kildare,SE,30
Kildare,SE,43
Kildare,SE,42
Kildare,SE,20
Kildare,SE,17
Kildare,SE,14
Kildare,SE,34
Kildare,SE,50
Kildare,SE,26
Kildare,SE,34
Kildare,SE,38
Kildare,SE,22
Kildare,SE,44
Kildare,SE,45
Kildare,SE,49
Kildare,SE,37
Kildare,SE,24
Kildare,SE,15
Kildare,SE,12
Kildare,SE,16
Kildare,SE,33
Kildare,SE,8
Kildare,SE,31
Kildare,SE,7
